k1,k2,k3,p,value
0.001,0.126,0.626,0.16473684210526315,1.4068319263053857
0.001,0.126,0.626,0.2163157894736842,1.316343310462929
0.001,0.126,0.626,0.26789473684210524,1.245432087780773
0.001,0.126,0.626,0.3194736842105263,1.1888746214306742
0.001,0.126,0.626,0.37105263157894736,1.14296440799885
0.001,0.126,0.626,0.4226315789473684,1.1050567927274764
0.001,0.126,0.626,0.47421052631578947,1.0732793027757674
0.001,0.126,0.626,0.5257894736842105,1.046341480406901
0.001,0.126,0.626,0.5773684210526315,1.0234064001911962
0.001,0.126,0.626,0.6289473684210526,1.0040033643962065
0.001,0.126,0.626,0.6805263157894736,0.9879729956774037
0.001,0.126,0.626,0.7321052631578947,0.9754458658515999
0.001,0.126,0.626,0.7836842105263158,0.966868894949175
0.001,0.126,0.626,0.8352631578947368,0.963122676857243
0.001,0.126,0.626,0.8868421052631579,0.9658663688898916
0.001,0.126,0.626,0.9384210526315789,0.9786864175422387
0.001,0.126,0.626,0.99,1.014269088129791
0.001,0.126,0.751,0.01,1.8813797797252274
0.001,0.126,0.751,0.06157894736842105,1.674712330147484
0.001,0.126,0.751,0.11315789473684211,1.5211544434545496
0.001,0.126,0.751,0.16473684210526315,1.4048088543301054
0.001,0.126,0.751,0.2163157894736842,1.3150571376848337
0.001,0.126,0.751,0.26789473684210524,1.2446085354906504
0.001,0.126,0.751,0.3194736842105263,1.188346135708862
0.001,0.126,0.751,0.37105263157894736,1.1426263565581989
0.001,0.126,0.751,0.4226315789473684,1.1048426401268898
0.001,0.126,0.751,0.47421052631578947,1.0731461312498762
0.001,0.126,0.751,0.5257894736842105,1.0462613172414414
0.001,0.126,0.751,0.5773684210526315,1.0233608933511116
0.001,0.126,0.751,0.6289473684210526,1.0039804389496805
0.001,0.126,0.751,0.6805263157894736,0.987964711433805
0.001,0.126,0.751,0.7321052631578947,0.9754470212496615
0.001,0.126,0.751,0.7836842105263158,0.9668761053744124
0.001,0.126,0.751,0.8352631578947368,0.963133760983796
0.001,0.126,0.751,0.8868421052631579,0.9658799386095271
0.001,0.126,0.751,0.9384210526315789,0.9787016045027399
0.001,0.126,0.751,0.99,1.0142853646266046
0.001,0.126,0.876,0.01,1.8733255284111765
0.001,0.126,0.876,0.06157894736842105,1.6698816407022212
0.001,0.126,0.876,0.11315789473684211,1.5181911116045406
0.001,0.126,0.876,0.16473684210526315,1.402959470742256
0.001,0.126,0.876,0.2163157894736842,1.3138888581793964
0.001,0.126,0.876,0.26789473684210524,1.2438652132226995
0.001,0.126,0.876,0.3194736842105263,1.1878722342513726
0.001,0.126,0.876,0.37105263157894736,1.1423253331849406
0.001,0.126,0.876,0.4226315789473684,1.1046534698849522
0.001,0.126,0.876,0.47421052631578947,1.0730296820178182
0.001,0.126,0.876,0.5257894736842105,1.046192230556366
0.001,0.126,0.876,0.5773684210526315,1.0233226261213555
0.001,0.126,0.876,0.6289473684210526,1.0039621666492637
0.001,0.126,0.876,0.6805263157894736,0.9879593548698975
0.001,0.126,0.876,0.7321052631578947,0.9754499679325006
0.001,0.126,0.876,0.7836842105263158,0.9668843702088914
0.001,0.126,0.876,0.8352631578947368,0.9631454306435896
0.001,0.126,0.876,0.8868421052631579,0.965893802343655
0.001,0.126,0.876,0.9384210526315789,0.9787169092899548
0.001,0.126,0.876,0.99,1.0143016555660216
0.001,0.251,0.001,0.01,1.048806006164623
0.001,0.251,0.001,0.06157894736842105,0.9901143280764848
0.001,0.251,0.001,0.11315789473684211,0.9505579160516633
0.001,0.251,0.001,0.16473684210526315,0.9247930394330122
0.001,0.251,0.001,0.2163157894736842,0.9091148871398054
0.001,0.251,0.001,0.26789473684210524,0.9008349660707387
0.001,0.251,0.001,0.3194736842105263,0.8979222212444169
0.001,0.251,0.001,0.37105263157894736,0.8987969321767646
0.001,0.251,0.001,0.4226315789473684,0.9022166676029011
0.001,0.251,0.001,0.47421052631578947,0.9072185079190214
0.001,0.251,0.001,0.5257894736842105,0.9130947271330321
0.001,0.251,0.001,0.5773684210526315,0.919386827433768
0.001,0.251,0.001,0.6289473684210526,0.925888762799326
0.001,0.251,0.001,0.6805263157894736,0.9326563547525879
0.001,0.251,0.001,0.7321052631578947,0.9400279202121546
0.001,0.251,0.001,0.7836842105263158,0.9486743499362027
0.001,0.251,0.001,0.8352631578947368,0.9597267665312894
0.001,0.251,0.001,0.8868421052631579,0.9751248158547265
0.001,0.251,0.001,0.9384210526315789,0.9987722313745562
0.001,0.251,0.001,0.99,1.043757977517214
0.001,0.251,0.126,0.01,1.0414253751085027
0.001,0.251,0.126,0.06157894736842105,0.984328256576692
0.001,0.251,0.126,0.11315789473684211,0.9459953530661567
0.001,0.251,0.126,0.16473684210526315,0.9211878689036874
0.001,0.251,0.126,0.2163157894736842,0.9062698512655518
0.001,0.251,0.126,0.26789473684210524,0.8985993208203991
0.001,0.251,0.126,0.3194736842105263,0.8961776430681634
0.001,0.251,0.126,0.37105263157894736,0.8974485010744093
0.001,0.251,0.126,0.4226315789473684,0.9011870092222494
0.001,0.251,0.126,0.47421052631578947,0.9064439086752745
0.001,0.251,0.126,0.5257894736842105,0.9125224819067403
0.001,0.251,0.126,0.5773684210526315,0.9189733557400981
0.001,0.251,0.126,0.6289473684210526,0.9255982012175092
0.001,0.251,0.126,0.6805263157894736,0.9324594417031351
0.001,0.251,0.126,0.7321052631578947,0.9399010597953463
0.001,0.251,0.126,0.7836842105263158,0.9485987895907235
0.001,0.251,0.126,0.8352631578947368,0.9596878566599734
0.001,0.251,0.126,0.8868421052631579,0.9751113430141887
0.001,0.251,0.126,0.9384210526315789,0.9987758371350939
0.001,0.251,0.126,0.99,1.0437727347199912
0.001,0.251,0.251,0.01,1.0367143562107692
0.001,0.251,0.251,0.06157894736842105,0.9810147514255685
0.001,0.251,0.251,0.11315789473684211,0.9436369147989634
0.001,0.251,0.251,0.16473684210526315,0.9194962648257756
0.001,0.251,0.251,0.2163157894736842,0.9050519304780504
0.001,0.251,0.251,0.26789473684210524,0.8977224081626116
0.001,0.251,0.251,0.3194736842105263,0.8955486085412612
0.001,0.251,0.251,0.37105263157894736,0.8970007372001323
0.001,0.251,0.251,0.4226315789473684,0.900872127143872
0.001,0.251,0.251,0.47421052631578947,0.9062263250151887
0.001,0.251,0.251,0.5257894736842105,0.9123758140517713
0.001,0.251,0.251,0.5773684210526315,0.9188779666057019
0.001,0.251,0.251,0.6289473684210526,0.9255394838369995
0.001,0.251,0.251,0.6805263157894736,0.9324265861180332
0.001,0.251,0.251,0.7321052631578947,0.9398861403368248
0.001,0.251,0.251,0.7836842105263158,0.9485960716139448
0.001,0.251,0.251,0.8352631578947368,0.9596932604006074
0.001,0.251,0.251,0.8868421052631579,0.975122026066316
0.001,0.251,0.251,0.9384210526315789,0.9987898717746262
0.001,0.251,0.251,0.99,1.043788870836258
0.001,0.251,0.376,0.01,1.03286842347969
0.001,0.251,0.376,0.06157894736842105,0.9783799393381831
0.001,0.251,0.376,0.11315789473684211,0.9418067458595276
0.001,0.251,0.376,0.16473684210526315,0.918213201153768
0.001,0.251,0.376,0.2163157894736842,0.904147929150676
0.001,0.251,0.376,0.26789473684210524,0.8970849641435001
0.001,0.251,0.376,0.3194736842105263,0.8951006832731285
0.001,0.251,0.376,0.37105263157894736,0.8966885390113801
0.001,0.251,0.376,0.4226315789473684,0.9006574771016576
0.001,0.251,0.376,0.47421052631578947,0.9060817750421637
0.001,0.251,0.376,0.5257894736842105,0.9122814546802367
0.001,0.251,0.376,0.5773684210526315,0.9188192910245183
0.001,0.251,0.376,0.6289473684210526,0.9255059224944295
0.001,0.251,0.376,0.6805263157894736,0.9324104737525629
0.001,0.251,0.376,0.7321052631578947,0.9398819677125512
0.001,0.251,0.376,0.7836842105263158,0.9485999304081343
0.001,0.251,0.376,0.8352631578947368,0.9597024244794361
0.001,0.251,0.376,0.8868421052631579,0.97513463354128
0.001,0.251,0.376,0.9384210526315789,0.9988046850982846
0.001,0.251,0.376,0.99,1.0438051032040039
0.001,0.251,0.501,0.01,1.0295090953351012
0.001,0.251,0.501,0.06157894736842105,0.9761151309175062
0.001,0.251,0.501,0.11315789473684211,0.9402571170802814
0.001,0.251,0.501,0.16473684210526315,0.9171422200675448
0.001,0.251,0.501,0.2163157894736842,0.9034036371598648
0.001,0.251,0.501,0.26789473684210524,0.8965671497975203
