k1,k2,k3,p,r,value
0.01,0.01,0.71,0.57,0.2738853503184714,0.39701164347662354
0.01,0.01,0.71,0.64,0.2195121951219512,0.4400478362194853
0.01,0.01,0.71,0.71,0.16959064327485382,0.47636957006514224
0.01,0.01,0.71,0.78,0.12359550561797751,0.504260158131681
0.01,0.01,0.71,0.85,0.08108108108108109,0.5218477515316247
0.01,0.01,0.71,0.92,0.04166666666666665,0.5263079658462106
0.01,0.01,0.71,0.99,0.005025125628140708,0.5086262365488294
0.01,0.01,0.78,0.01,0.9801980198019802,0.04865774727612593
0.01,0.01,0.78,0.08,0.8518518518518519,0.07507889262008655
0.01,0.01,0.78,0.15,0.7391304347826088,0.10910421618345312
0.01,0.01,0.78,0.22,0.639344262295082,0.1500553316736788
0.01,0.01,0.78,0.29,0.5503875968992248,0.19654016055187795
0.01,0.01,0.78,0.36,0.4705882352941177,0.24666415554681453
0.01,0.01,0.78,0.43,0.39860139860139865,0.2982620059958574
0.01,0.01,0.78,0.5,0.3333333333333333,0.3491008318699995
0.01,0.01,0.78,0.57,0.2738853503184714,0.39702870502273746
0.01,0.01,0.78,0.64,0.2195121951219512,0.44005768487434516
0.01,0.01,0.78,0.71,0.16959064327485382,0.47637495721915957
0.01,0.01,0.78,0.78,0.12359550561797751,0.504262893383018
0.01,0.01,0.78,0.85,0.08108108108108109,0.5218489812298421
0.01,0.01,0.78,0.92,0.04166666666666665,0.5263083904450234
0.01,0.01,0.78,0.99,0.005025125628140708,0.5086262697139272
0.01,0.01,0.85,0.01,0.9801980198019802,0.04896126657608596
0.01,0.01,0.85,0.08,0.8518518518518519,0.07532452142509821
0.01,0.01,0.85,0.15,0.7391304347826088,0.10929285805596178
0.01,0.01,0.85,0.22,0.639344262295082,0.15019346355611762
0.01,0.01,0.85,0.29,0.5503875968992248,0.19663702441917652
0.01,0.01,0.85,0.36,0.4705882352941177,0.24672942544004817
0.01,0.01,0.85,0.43,0.39860139860139865,0.2983043543475279
0.01,0.01,0.85,0.5,0.3333333333333333,0.3491272999340922
0.01,0.01,0.85,0.57,0.2738853503184714,0.3970446143553872
0.01,0.01,0.85,0.64,0.2195121951219512,0.4400668379528887
0.01,0.01,0.85,0.71,0.16959064327485382,0.47637994739776035
0.01,0.01,0.85,0.78,0.12359550561797751,0.5042654187790323
0.01,0.01,0.85,0.85,0.08108108108108109,0.5218501128939779
0.01,0.01,0.85,0.92,0.04166666666666665,0.5263087799377704
0.01,0.01,0.85,0.99,0.005025125628140708,0.5086263000403939
0.01,0.01,0.92,0.01,0.9801980198019802,0.04925440381846527
0.01,0.01,0.92,0.08,0.8518518518518519,0.07556054352153324
0.01,0.01,0.92,0.15,0.7391304347826088,0.10947335189148855
0.01,0.01,0.92,0.22,0.639344262295082,0.15032512893766914
0.01,0.01,0.92,0.29,0.5503875968992248,0.1967290305580116
0.01,0.01,0.92,0.36,0.4705882352941177,0.24679121653193958
0.01,0.01,0.92,0.43,0.39860139860139865,0.29834431758299695
0.01,0.01,0.92,0.5,0.3333333333333333,0.34915219949003884
0.01,0.01,0.92,0.57,0.2738853503184714,0.3970595349982442
0.01,0.01,0.92,0.64,0.2195121951219512,0.44007539613208957
0.01,0.01,0.92,0.71,0.16959064327485382,0.47638459915726084
0.01,0.01,0.92,0.78,0.12359550561797751,0.5042677658454715
0.01,0.01,0.92,0.85,0.08108108108108109,0.5218511615133106
0.01,0.01,0.92,0.92,0.04166666666666665,0.5263091397842492
0.01,0.01,0.92,0.99,0.005025125628140708,0.5086263279770971
0.01,0.01,0.99,0.01,0.9801980198019802,0.04953824806263096
0.01,0.01,0.99,0.08,0.8518518518518519,0.07578800920254858
0.01,0.01,0.99,0.15,0.7391304347826088,0.10964662118109336
0.01,0.01,0.99,0.22,0.639344262295082,0.1504510838357378
0.01,0.01,0.99,0.29,0.5503875968992248,0.19681676262484682
0.01,0.01,0.99,0.36,0.4705882352941177,0.24684995724448122
0.01,0.01,0.99,0.43,0.39860139860139865,0.2983821962212432
0.01,0.01,0.99,0.5,0.3333333333333333,0.3491757324668685
0.01,0.01,0.99,0.57,0.2738853503184714,0.3970735968755361
0.01,0.01,0.99,0.64,0.2195121951219512,0.44008343914541825
0.01,0.01,0.99,0.71,0.16959064327485382,0.4763889587262895
0.01,0.01,0.99,0.78,0.12359550561797751,0.5042699593939468
0.01,0.01,0.99,0.85,0.08108108108108109,0.5218521388489767
0.01,0.01,0.99,0.92,0.04166666666666665,0.5263094742556449
0.01,0.01,0.99,0.99,0.005025125628140708,0.508626353874031
0.01,0.08,0.01,0.01,0.9801980198019802,0.18647427578778453
0.01,0.08,0.01,0.08,0.8518518518518519,0.24071384577760746
0.01,0.08,0.01,0.15,0.7391304347826088,0.2960662512641614
